Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [JERGUN CRAFT],Price [JERGUN CRAFT],In stock [JERGUN CRAFT],Low stock [JERGUN CRAFT],Optimal stock [JERGUN CRAFT]
เมล็ดกาแฟคั่วเข็ม-papakoff-dark-500g,10345,เมล็ดกาแฟคั่วเข็ม Papakoff Dark 500g,น้ำดื่ม เครื่องดื่ม และผงชงดื่ม,,N,,,,,,,225.77,JC10345,,,Y,,บริษัท ดาวเรืองอิมพอร์ตเอ็กซ์พอร์ต(ไทยแลนด์) จำกัด,0.00,Y,259.00,25.000,0.000,0.000
เมล็ดทานตะวันอบกลิ่นมะพร้าว-(ตราฟรุ๊ตทาซี่),10641,เมล็ดทานตะวันอบกลิ่นมะพร้าว (ตราฟรุ๊ตทาซี่),ขนมขบเคี้ยวและของหวาน,,N,,,,,,,43.35,8859007201529,,,Y,,บริษัท รวิสรา อินดัสตรี้ จำกัด,,Y,60.00,11.000,10.000,20.000
เมล็ดทานตะวันอบกลิ่นวอลนัท(ตราฟรุ๊ตทาซี่),10642,เมล็ดทานตะวันอบกลิ่นวอลนัท(ตราฟรุ๊ตทาซี่),ขนมขบเคี้ยวและของหวาน,,N,,,,,,,41.08,8859007201420,,,Y,,บริษัท รวิสรา อินดัสตรี้ จำกัด,,Y,60.00,5.000,10.000,20.000
เมล่อน-ซีโร่(โซดาคราฟท์),10583,เมล่อน ซีโร่ 265 ml (โซดาคราฟท์),โซดาคราฟท์,,N,,,,,,,37.43,JC10583,,,Y,,คลาสทาวน์,0.00,Y,50.00,7.000,4.000,8.000
เมอริเดียนกลม-700ml.,10496,เมอริเดียนกลม 700ml.,สุรา,,N,,,,,,,490.00,8850486100297,,,Y,,บริษัท แคชแวน แมนเนจเม้นท์ จำกัด,0.00,Y,525.00,6.000,6.000,12.000
เมอริเดอร์แบน-350ml.,10403,เมอริเดียนแบน 350ml.,สุรา,,N,,,,,,,235.00,8850486100303,,,Y,,บริษัท แคชแวน แมนเนจเม้นท์ จำกัด,0.00,Y,263.00,13.000,6.000,12.000
เยลลี่มะม่วง,10563,เยลลี่มะม่วงเจอกัน 170 g,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,13.78,JC10563,,,Y,,บริษัท รวิสรา อินดัสตรี้ จำกัด,0.00,Y,35.00,46.000,20.000,24.000
เยลลี่สตอเบอรี่เจอกัน-3ถุง100,10562,เยลลี่สตอเบอรี่เจอกัน 170 g,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,14.03,JC10562,,,Y,,บริษัท รวิสรา อินดัสตรี้ จำกัด,0.00,Y,35.00,78.000,,70.000
เยลลี่ส้มเจอกัน-3ถุง100,10564,เยลลี่ส้มเจอกัน 170 g,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,17.45,JC10564,,,Y,,บริษัท รวิสรา อินดัสตรี้ จำกัด,0.00,Y,35.00,7.000,31.000,62.000
เยลลี่เลม่อนเจอกัน,10566,เยลลี่เลม่อนเจอกัน 170 g,ขนมขบเคี้ยวและของหวาน,,N,,,,,,,17.05,JC10566,,,Y,,บริษัท รวิสรา อินดัสตรี้ จำกัด,0.00,Y,35.00,46.000,32.000,63.000
เลมอนเนด,10205,เลมอนเนด 265 ml (โซดาคราฟท์),โซดาคราฟท์,,N,,,,,,,37.20,JC10205,,,Y,,คลาสทาวน์,0.00,Y,50.00,11.000,6.000,12.000
เส้นสดขนมจีนอบแห้ง,10363,เส้นสด เรณู ขนมจีนอบแห้ง(นัวร์) 120 g,ผลิตภัณฑ์ท้องถิ่นนครพนม,,N,,,,,,,17.00,JC10363,,,Y,,หจก.นัว อินเตอร์ฟู้ด,0.00,Y,29.00,0.000,48.000,120.000
เส้นแห้ง99-(ถุงใหญ่)-1x20,10453,เส้นแห้ง99 (ถุงใหญ่) 1x20,ผลิตภัณฑ์ท้องถิ่นนครพนม,,N,,,,,,,100.00,JC10453,,,Y,,ร้าน 99,0.00,Y,110.00,21.000,11.000,22.000
เสื้อขาว-l-t-shirt-2024,10115,เสื้อขาว L T-SHIRT 2024,ของที่ระลึก,,N,,,,,,,85.00,JC10115,,,Y,,ร้านฟรีดอม,0.00,Y,120.00,3.000,,
เสื้อ-ขาว-s-t-shirt-2024,10114,เสื้อขาว M T-SHIRT 2024,ของที่ระลึก,,N,,,,,,,70.00,JC10114,,,Y,,ร้านฟรีดอม,0.00,Y,110.00,2.000,,
เสื้อ-t-shirt-2024-ขาว-s,10113,เสื้อขาว S T-SHIRT 2024,ของที่ระลึก,,N,,,,,,,65.00,JC10113,,,Y,,ร้านฟรีดอม,0.00,Y,100.00,1.000,,
เสื้อขาวผ้าสาลู-(คอบัว),10522,เสื้อขาวผ้าสาลู (คอบัว),ความงามและของใช้ส่วนตัว,,N,,,,,,,400.00,JC10522,,,Y,,พี่ตุ๊กผ้าสาลู,,Y,550.00,0.000,0.000,1.000
เสื้อครอปผ้าสาลู,10616,เสื้อครอปผ้าสาลู,ความงามและของใช้ส่วนตัว,,N,,,,,,,400.00,JC10616,,,Y,,พี่ตุ๊กผ้าสาลู,,Y,550.00,0.000,0.000,1.000
